"","GSM993984","GSM993986","GSM993988","GSM993990","GSM993992","GSM993994","GSM993996","GSM993998","GSM994000","GSM994001","GSM994003","GSM994005","GSM994007","GSM994010","GSM994011","GSM994013","GSM994015","GSM994017","GSM994019","GSM994021","GSM994023","GSM994025","GSM994027","GSM994030","GSM994031","GSM994033","GSM994035","GSM994037","GSM994039","GSM994041","GSM994043","GSM994045","GSM994047","GSM994049","GSM994051","GSM994053","GSM994055","GSM994057","GSM994060","GSM994061","GSM994063","GSM994065","GSM994067","GSM994069","GSM994071","GSM994073","GSM994075","GSM994077","GSM994079","GSM994081","GSM994083","GSM994085","GSM994087","GSM994089","GSM994091","GSM994094","GSM994095","GSM994097","GSM994099","GSM994101","GSM994103","GSM994105","GSM994107","GSM994109","GSM994111","GSM994113","GSM994115","GSM994117","GSM994119","GSM994121","GSM994123","GSM994125","GSM994127","GSM994129","GSM994131","GSM994133","GSM994135","GSM994137","GSM994139","GSM994141","GSM994143","GSM994145","GSM994147","GSM994149","GSM994151","GSM994153","GSM994155","GSM994158","GSM994159","GSM994161","GSM994163","GSM994165","GSM994168","GSM994169","GSM994171","GSM994173","GSM994175","GSM994177","GSM994179","GSM994181","GSM994183"
"CD56dim natural killer cell",0.6285018232102,0.619529258339609,0.127316636050265,0.534823639158771,0.18840203271167,0.723199930718503,0.199689702263933,0.48323027055626,0.361244431009599,0.456525806091837,0.629925015270299,0.580565809029365,0.453209468886598,0.358248973902462,0.991082966963325,0.575298123339327,0.372391073590679,0.282523068259975,0.656047670031618,0.647003449208094,0.440930325112108,0.29454220278661,0.488836593344988,0.586602160737254,0.618231748932284,0.148596527874598,0.775670935075648,1,0.213215907422849,0.320701464863856,0.100594385989266,0.328035074294345,0.865307294567015,0.754157042645113,0.918282775762437,0.828944181101576,0.504669589275053,0.624590971096624,0.385392340233981,0.532761023520705,0.423716410199857,0.106823182475837,0,0.529231621085219,0.42882093251655,0.423191073729548,0.0760457951133677,0.503793861108286,0.552043310609139,0.392769419757601,0.314846974247471,0.303220680375772,0.285106441094077,0.410407781269817,0.642999959551473,0.905275116984849,0.268044404651414,0.454056615719249,0.693300691644408,0.266871339539832,0.45735227257971,0.505840593740257,0.710417756614911,1,0.718255330652298,1,0.806395470918916,0.647056158698478,0.532777269189453,0.341586638676052,1,0.649664314455436,0.690491449342793,0.424187320853048,0.695611173166535,0.547053846343212,0.0730466560002018,0.707408195177103,0.274359435530149,0.411634694538563,0.847511978071177,0.427838229098977,0.331747163544178,0.152569898763425,0.257073411334802,0.521751236333854,0.618611152375846,0.417020060473718,0.660061979573144,0.656462185377794,0.108888182011454,0.786018966043472,0.244907674891947,0.330135497499219,0.669106986410171,0.542111858681044,0.247048719480652,0.632346313968407,0.551727423402763,0.287956851742674,0.362874145277061
"Eosinophil",0.241147656247874,0.411828197973154,0.842536630540794,0.281962874325239,0.384028629175363,0.790409068329975,0,0.354288853731821,0.571547960569813,0,0.618499082153796,0.500068870292678,0.628591502666135,0.265709510821178,0,0.535472635103718,0.778144405733992,0.224715104100404,0.373883498486922,0.88370782204373,0.474594396661579,0.439382397553856,0.568121050585652,0.644369700269001,0.865838815085946,0.184246671886094,0.763972829542792,0.420848631085314,0.639178782449013,0.340409187409242,0,0.713416640697355,0.669990867187132,0.637452183905167,0.736256751962697,0.447367708198132,0.454269491022496,1,0.499639177597446,0.76455736452028,0.770041584083341,0.847872410658346,0.784705964054382,0.143545642606528,0.64495051350191,0.25351446346253,0.223849996671949,0.362927534617561,0.585104411870601,0.214097674910959,0.425434195118308,0,0.454888242952554,0.281095695566697,0.380439901755543,0.660317158265995,0.636873927693705,0.794067870253958,0.297816661118282,0,0.768609479687028,0.867097152820078,0.0988054729479805,0.631984246677322,0.360867247247073,0.568361437399906,0.581890758301304,0.367673128425775,0.292483859121922,0.521933033700428,0.828801657557148,0.374392225112435,0.607728144338908,0,0.750800124289641,0.719006083005663,0.393581988255626,0.522769328014832,0.754530020855747,0.84609368871044,0.434237317397315,0.41708942303848,0.664257373520708,0.582787248236331,0.44311917975243,0.693941166849644,0.819662241107396,0.554631335325087,0.529813461800848,0.41721593333909,0.342982984826219,0.766269058735815,0.140272025895215,0.359790570413167,0.435451275036587,0.541255389649823,0.312112558573523,0.721162168747682,0.687630569457987,0.680810927810386,0.667865360197049
"Immature dendritic cell",0.691407233083451,0.482278593083541,0.667555052022362,0.282120363081567,0.574995973679313,0.317334789425309,0.420360422186904,1,0.157930755970075,0.382525146423059,0.492899407306364,0.128453776174339,0.313349445256737,0.554822306234061,0.38314450554419,0.428427003569267,0.646878682765906,0.715174425975423,0.386468158320412,0.775567423783375,0.431527665695293,0.322712778219601,0.800899709199327,0.387182027665549,0.883443456684035,0.481366875959283,0.446282440291454,0.638606757494624,0.1936156308862,0.935189900126053,0.629192445151733,0.4265403255029,0.674109840120753,0.351725813513438,0.747933194546392,0.426815017495592,0.582330197733656,0.544583837050682,0.471327000175866,0.175519096888702,0.814658241958395,0,0.650335960753952,1,0.519409814887058,0.449761105889894,0.249566300780693,0.459013083400271,0.596555234023449,0.53914094300624,0.364298381376263,0.179596634299141,0.193382332312699,0.210373446127888,0.529594565349877,0.186577650902622,0.496545104192517,0.409295463637267,0.402151969739371,0.733985186924571,0.68063767535011,0.388767168009145,0.486874718348331,0.338716628780873,0.462321136818414,0.375366836060889,0.563818243467561,1,0.364733884355793,0.304960745771003,0.756291807096784,0.184855874584776,0.552025707791141,0.245250748797307,0.836357047098958,0.671900194898289,0.264456903256271,0.10638621558901,0.941444578097731,0.558567612124711,0.342211679599989,0.523807597763094,0.853081521713936,0.541179215646428,0.191329365906784,0.570593277636837,0.30808121880884,0.990309544598838,0.740912530602817,0.745722125595385,0.0662520721708083,0.269716884972802,0.496503755071315,0.611420113547005,0.429329114008259,0.441203838562161,0.573144068309996,0.496962455403822,0.58253706565354,0.767878003539493,0.929002042919729
"Macrophage",0.798287644208944,0.388603061916044,0.807163735421918,0.304037692268268,0.544701382759068,0.508861909183137,0,0.540138813861777,0.291118460325391,0.367062278705537,0.238936412461381,0.392449439835291,0.296739231287315,0.294274449994221,0.307861573299774,0.649189292197123,0.769281971080489,0.489895834787305,0.815018507553046,0.608831310075463,0.504397581675435,0.813502141537012,0.644489637969767,0.310534013112108,1,0.544303450938848,0.481970195377953,0.596997296084899,0.592673531430324,0.206359996587205,0.531638022917688,0.438563877927227,0.366637590007688,0.497141491754122,0.984517820266215,0.166619035937354,0.38833944003021,0.860703994733627,0.382895196587748,0.285514723981779,0.429692939522093,0,0.42016343151991,0.72815850238707,0.396860373283973,0.521489317200702,0.194123397120064,0.606567764666337,0.637709078131801,0.270925824539244,0.492387750879981,0,0.543253354872746,0.322331884821095,0.537981152452271,0.703610899696386,0.461160865810195,0.482828852121291,0.394725517794493,0.20085230015685,0.829068316276432,0.635555573669681,0.391459338110302,0.673355661350828,0.670948579818477,0.416615840986565,0.577263312530196,0.779652625120389,0.0898675574919615,0.529516611519955,0.642358810259429,0.518184619897661,0.392625561487389,0.400847463349063,0.500347744290443,0.988830216228099,0,0.0598257812673251,0.511442274730632,0.771465716576994,0.527586126944039,0.702075738101258,0.776445341522712,0.511697433326174,0.296923995682113,0.746503962519382,0.784731959010812,0.518948688271915,0.707355969370652,0.750133044875537,0.437435759824976,0.462853093718119,0.13152044533427,0.503205102299824,0.569639296441779,0.58568683912922,0.474180130730631,0.321476027849524,0.815671034486255,0.790710706051407,0.88460851178758
"Mast cell",0.880915277261403,0.543488346447933,0.885346548457359,0.525505048384568,0.820289507952063,0.840594674783442,0,0.759584215575035,0.26264295639013,0.028514051476017,0.446555209463355,0.51486058800817,0.413344789501483,0.432876453008154,0.411375010897019,0.652281347599696,0.803536994464228,0.430839706521081,0.536260551506332,0.720526541781659,0.425418206128577,0.3719454449235,0.82231085398027,0.393618252301942,1,0.659398048263512,0.580618089355296,0.310809748979718,0.409510291735481,0.5581211388633,0.493346880327137,0.343030671616477,0.12168721529755,0.780654971779669,0.705903790466935,0.272291114598443,0.559872623117344,0.841741184912888,0.393859337110537,0.210289780178815,0.525820318791308,0,0.310755518954576,0.62023366657149,0.507452299435473,0.382745266292913,0.441986103422672,0.590272712980427,0.696872718738007,0.505519564674522,0.349000178107109,0,0.332676843775595,0.178157746200902,0.422317467042328,0.912575536048875,0.532240928191689,0.719222274496455,0.465738109256356,0.155767892738127,0.560770888846224,0.444230350222323,0.113355640034598,0.41284749218138,0.630908184049767,0.259283556755273,0.805342143262924,0.510235570312684,0.163141657064794,0.306713088203809,0.571598583626889,0.232701842803732,0.446805258558231,0.359034658182388,0.666361837682669,0.610634780891264,0.0727249210233013,0.37706078705246,0.897905927503824,0.698150722184445,0.401551336700584,0.4811304926869,0.597061887840588,0.666124641466132,0.259909489450937,0.721631667008802,0.74773158554974,0.619190762594888,0.85163622848101,0.714440274682506,0.218941742369768,0.642849221730698,0,0.755284225234151,0.420553941613179,0.555202802655756,0.393836580445072,0.609753963630548,0.879725984460571,0.647586597003964,0.860390110865432
"MDSC",0.983711733451254,0.686987533634197,0.628926867084311,0.352493832386009,0.622659544819098,0.631882507283584,0,0.538382950751346,0.335525170577882,0.132120055509405,0.399897671039782,0.66280668401485,0.422749018596503,0.453474363069588,0.2550522199101,0.557752077936169,0.664048802475765,0.541799215795194,0.919830331642989,0.509325271226327,0.505666237958209,0.808542260735836,0.658575094504086,0.316978045582477,0.981938378947727,0.605709626297036,0.659419178157579,0.44320347957106,0.428536198467698,0.00474671656730263,0.764300055733294,0.534847082490057,0.411533875367602,0.355641665093862,0.940154357120305,0.209923515432991,0.558763625781266,0.737533475207326,0.33832561524821,0.355303043219874,0.413001561630109,0,0.360234008402933,0.615713178960084,0.248782611851088,0.521740967265982,0.379488890195943,0.660723422863376,0.48606334193674,0.272341454690313,0.64906425979008,0.165196334188644,0.632557397827332,0.339745157784501,0.648826242261254,0.810394843081276,0.3997009882495,0.376446823552826,0.451675469507114,0.325588823259618,0.872419656214202,0.661307048833977,0.521096423700894,0.721183951296969,0.538704345807859,0.22337574570585,0.700950378574813,0.814838050011928,0.27921624981925,0.490011278267343,0.481073122373126,0.528469846335066,0.34616047700617,0.463999848995086,0.542385736984121,0.748839585991767,0,0.176547516508593,0.569662518747492,0.572801009911674,0.486019244030107,0.809061921998021,0.550421915192136,0.466358104842792,0.287855345999025,0.696172690096679,0.775881726720426,0.365921298260072,0.594429924926262,0.731485789098615,0.30858287636687,0.653956026039536,0.152837516859264,0.562827332202732,0.590005016040479,0.731025818131844,0.441407447194982,0.345730251052762,0.704201466409432,0.664439225162828,0.685546279115521
"Monocyte",0.714958683658035,0.321054010056875,0.550753150792806,0.308120537426968,0.558354681888405,0.800134460676307,0,0.380709959065926,0.443834433934982,0.584961003557817,0.301252036694384,0.616543809477292,0.35717773627249,0.309082238918679,0.455246986839302,0.446318165637579,0.529848019457227,0.442496923354486,0.625668424369348,0.682719317423251,0.556403587998197,0,0.757430767157275,0.400383806688126,0.866497284788179,0.610412235423562,0.605469106027432,0.491176961250248,0.577620127956441,0.503902526239011,0.289802543555214,0.496203441983697,0.459334871836812,0.633791480586294,0.76214450258417,0.127025231413713,0.493500226663146,0.702754631024372,0.280964470091674,0.213146889858093,0.34444079846982,0,0.501618985559371,0.958979044062382,0.568908610106143,0.463777893271457,0.251032081694176,0.573694103150875,0.467564556409089,0.348113024360983,0.238208923957953,0.0583558408785386,0.290966981199441,0.287481501092322,0.390428031199873,0.944021239272383,0.565906681526818,0.479007440229245,0.616337991300122,0.400496526525961,0.554737332532692,0.735892077913636,0.132571137550931,0.497599822123323,0.778404218681367,0.247850041174292,0.681606057338584,0.763096822617838,0.26155401664348,0.184462603051465,0.486149345848861,0.395456654678622,0.529012459836395,0.710009967354636,0.716833555497623,0.752197098921,0.217459896294511,0,0.448841461473085,0.772945125318943,0.968087501952474,1,0.685062513234599,0.543061323209003,0.261396417111735,0.937030956825996,0.769413050593065,0.257844650978224,0.638730156740965,0.963686363282213,1,0.541168606064495,0.172397191596308,0.566973230549,0.528864817496051,0.588187844856445,0.42372730536944,0.381169387822113,0.683742318257886,0.562163365443911,0.68496873315097
"Neutrophil",0.0781778954205818,0.55715284408716,0.983499055218408,0.364160903220368,0.363714613772594,0.579439560060334,0,0.0811847014925367,0.657137270882909,0.332453355321959,0.684035116716738,0.466419433573527,0.547921610467426,0.405534120245633,0.800280039135344,0.558360275681928,0.418080462655525,0.520102840950222,0.160658053418338,0.804254979449275,0.412427798110338,0.362911210334846,0.533833249716659,0.982765330908703,0.641038836716992,0.660385100433605,0.468960679402551,0.902107912066734,0.713149237768176,0.32701100255931,0.590399958914697,0.235042929983885,0.752983894423587,0.603263706345956,0.82674807214248,0.507320356505718,0.918398538661474,1,0.468216739059575,0.473912376301033,0.796637373661727,0.111285846342215,0.918748520188778,0.14450703797119,0.669572300388963,0.832192317896109,0.432224143656682,0.622920768073781,0.340099866132823,0.392225594854048,0.589306319522756,0.562113949009411,0.230108610451169,0.383517562864767,0.566500697349327,0.40463429510838,0.731935590532514,0.7568050645652,0.588012709103848,0.600281950514474,1,0.492951646372539,0.255400461795493,0.385418182796232,0.231155590082036,0.606012534726014,0.572812428148991,0.316169621986206,0.338714062438814,0.141500113979987,0.442096435165046,0.283857392174947,0.394837796816828,0.0563712102001762,0.649925439732481,0.3757324788399,0.342830457448421,0,0.453482360173914,0.477620318471168,0.296083975623611,0.402354496212735,1,0.198291063670829,0.587484337609057,0.166739286143938,0.176062682495996,0.565137110962039,0.613369617022226,0.547475243671853,0.915022494320077,0.276769841505722,0.440717779256101,0.240510265480921,0.41018959387749,0.757507492560078,0.547780383719128,0.556802819002383,0.669255870685614,0.269716971316047,0.504661948733985
"Plasmacytoid dendritic cell",0.683419822410993,0.301021388180531,0.856832958275567,0.736455624196744,0.519319559917266,0.60615475309628,0,0.477619972735122,0.771240391339954,0,0.368553779265094,0.371887762951717,0.536561799337818,0.334316049505467,0.466206971588285,0.53671493142828,0.315150557942163,0.410836569965738,0.295763923489573,0.504116359149607,0.483536644211887,0.399829021976413,0.735504403299743,0.454950572578775,0.764049897013336,0.649504762150717,0.375865566890308,0.37739417648467,0.418003040273844,0.241135310107103,0.612906979252684,0.146842077912969,0.383788781576221,0.207238539647538,0.699149131952671,0.214908713009198,0.605246292182238,0.563219170862304,0.551718725247715,0.324540919363197,0.250912933929394,0,0.66365546195427,0.618977313052969,0.286389856444354,0.527589380881215,0.490413862673218,0.53635660900288,0.496634576509072,0.293716335174737,0.168538470662719,0,0.124259723051033,0.378834363149361,0.0474875053613287,0.543817030369328,0.589993367444628,0.622106206313318,0.330132839492229,0.671669984743473,1,0.844134337681208,0.624220745993677,0.774500679606184,0.682230111931149,0.567700260150251,0.727050053516198,0.827387361797347,0.61806857963734,0.777576800129714,0.732008251793005,0.535623600980333,0.477558496406001,0.772975923414876,0.733183586005719,0.852757421198569,0.281089776381771,0.500040384389824,0.782463410360672,0.532490084734464,0.42201018425135,0.367120423777383,0.786770208402631,0.479718412200585,0.581754552683789,0.858369498007847,0.341686042316095,0.761862643891906,0.882183319187322,0.880549914997727,0.241256628985857,0.461469258020308,0.407295632506611,0.322916142261792,0.493279799648018,0.478422051775026,0.459557323183056,0.421114220044284,0.689971745086182,0.212268469433078,0.982826120633283
"Regulatory T cell",0.850396762601217,0.463232308572397,0.674467110479218,0.257436633118687,0.443561595783077,0.456360585466765,0,0.526962848654335,0.369346983851102,0.261090779609136,0.481287947285387,0.59334574907565,0.356269672113158,0.368441120137679,0.294470275585665,0.627870066786649,0.588159125512539,0.508536503973816,0.862992519703514,0.517300434096309,0.496786248443697,0.789918817314407,0.559328907424855,0.516039082406072,1,0.436604363706736,0.473235599097368,0.348105044651108,0.637900525406027,0.388590422276314,0.702099598199928,0.381708366375982,0.288786237912192,0.492282652794846,0.834210194030921,0.234681413450412,0.490692823809066,0.933153307186982,0.345443138724724,0.51233721963086,0.207757521314446,0,0.273801414429732,0.602418298752124,0.515874970203097,0.327525594021953,0.216148148325114,0.673267234925198,0.555961865283257,0.364624209789058,0.42164237885065,0.19490681073447,0.564106884638895,0.263750716908386,0.718893983482138,1,0.304571339811114,0.59056285435093,0.569241051002191,0.338372606205266,1,0.809524787311525,0.426781161289393,0.861523141289421,0.631815627787648,0.188552945043494,0.601210013910995,0.906931150362434,0.166229192327757,0.409742847445605,0.455840930308321,0.568590000581033,0.361420980093411,0.302017387009175,0.456974454101773,0.96049423692357,0.0580488052405845,0.386843051364622,0.593788451443467,0.575557062738015,0.621575447562015,0.715351113434509,0.667830610610403,0.522461080228082,0.291017828813564,0.561918397713512,0.687991091516375,0.570615635712406,0.500075820696866,0.528271500154358,0.489481103534515,0.620672544230384,0.134429722970305,0.54640321681863,0.445912552707387,0.468114024913173,0.437579915135549,0.285611375201818,0.83565341912029,0.540368520206216,0.895058036612295
