"","GSM1300062","GSM1300064","GSM1300066","GSM1300068","GSM1300070","GSM1300072","GSM1300074","GSM1300076","GSM1300078","GSM1300080","GSM1300082","GSM1300084","GSM1300086","GSM1300088","GSM1300090","GSM1300092","GSM1300094","GSM1300096","GSM1300098","GSM1300100","GSM1300102","GSM1300104","GSM1300106","GSM1300108","GSM1300110","GSM1300112","GSM1300114","GSM1300116","GSM1300118","GSM1300120","GSM1300122","GSM1300124","GSM1300126","GSM1300128","GSM1300130","GSM1300132","GSM1300134","GSM1300136","GSM1300138","GSM1300141","GSM1300143","GSM1300145","GSM1300147","GSM1300148","GSM1300150","GSM1300152","GSM1300154","GSM1300156","GSM1300158","GSM1300160","GSM1300162","GSM1300164","GSM1300166","GSM1300168","GSM1300170","GSM1300172","GSM1300174","GSM1300176","GSM1300178","GSM1300180","GSM1300182","GSM1300184","GSM1300186","GSM1300188","GSM1300191","GSM1300193","GSM1300195","GSM1300197","GSM1300199","GSM1300201","GSM1300203","GSM1300205"
"Immature  B cell",0.411977431652522,0.861986893355067,0.233993032620166,0.376627171162541,0.360317158547394,0.457934754772167,0.662241823834154,0.626021694679716,0.458855148660974,0.528521120450424,0.313839058253088,0.835028173443616,0.457504015119599,0.618040140834988,0.840670436698533,0.52274676200957,0.14405434164003,0.710661006195077,0.352200340774989,0.313956447428233,0.062483449797184,0.370495455064648,0.249272209888872,0.361141783603334,0.226962568147276,0.529190345879185,0.722495403210331,0.500307365140949,0.304827603357387,0.0969784638786675,0.581338569891102,0.074836759109699,0.197369858604307,0.368525495759657,0.639931233957468,0.516193466268886,0.577584076024478,0.371460005129304,0.624946089712969,1,0.669969458674242,0.175272137349483,0.748785900731595,0.613176043923502,0.588556261259773,0.524765851158019,0.525244912571127,0.119432954600594,0.788561479398613,0.0251915812888389,0.724174058618368,0.581071560146401,0.572573166833784,0.854023091462201,0.393600548901559,0.498889350370444,0.799464924592285,0.982998904827942,0.315861240123898,0.374593572180489,0.213912034967608,0.609597967335358,1,0.422403947753908,0.792457919516875,0.535389072152556,0.358625800433136,0.756625605856377,0.40146236278305,0.797157726350822,0.421211827312555,0.0602363251988178
"Memory B cell",0.419273839474166,0.788460861670197,0.722556424835657,0.545899295815412,0.0588314898948906,0.0126313831115319,0.487073505970483,0.294462301595432,0.213086799274534,0.257701241850479,0.259982911533564,0.619716852340463,0.613540146764166,0.637713347644308,0.466259614352147,0.917243847539599,0.408052913651691,0.355534640092023,0.904677881047458,0.468489992022355,0.384684897944915,0.409786000468935,0.889490556008458,0.50619905574886,0.5951533314161,0.382515809513748,0.702796783157882,0.468552027200015,0.0917279943166494,0.309875334562577,0.84582302490194,0.521053492945725,0.883016999605051,0.580344595011273,0.659171963215116,0.576264912009202,0.653177683651193,0.395526920185196,0.176770120458714,0.88649104417091,0.953145468676418,0.111051105365082,0.158205393667672,0.446262182066117,0.593746277155586,0.467186745739414,0.709489247794976,0.52429784564823,0.569538362126149,0.353715904706573,0.282794451417992,0.457871670816707,0.726210352284808,0.684768171794073,0.175007330118374,0.678897405941264,0.72289883567491,0.774935057608644,0.104384926360786,0.392757029835089,0.398003878595085,0.304234940645616,0.581941209812918,0.6383195677915,0.565915709286676,0.389308128452653,0,0.276913018209922,0.827086398899126,1,0.746553882422445,0.0339506045536128
"Natural killer cell",0.34673746507386,0.855596183319433,0.337850347469706,0.42627152215603,0.0616530831609399,0.640156566568947,0.696085585575448,0.632617355364022,0.349782718988262,0.552257380777839,0.487454168332884,0.857995404621762,0.205944364973201,0.167954673633405,0.715218366088064,0.245716105231669,0.461212599136929,0.617392069726571,0.524486260806577,0.711873656957583,0.143989925952931,0.460459675298276,0.52561674664607,0.595353204758049,0.431995596677204,0.381045314715361,0.68542553297237,0.884882681008305,0.404831405040396,0.381993647796582,0.480587131078417,0.442230665393947,0.325889435954866,0.587003615636802,0.752849635311614,0.686260264619287,0.479624914422665,0.345043398012567,0.681368987326542,0.630269311176126,0.658305074345507,0.294251393439526,0.576205199006854,0.671342305093497,0.805047471499333,0.600519626919026,0.811606919723926,0.298706670709397,0.703603541197896,0.177028029764494,0.516748846940909,0.564561443864654,0.359813617628172,0.818460047814652,0.75722672090746,0.448396963013324,0.574998015548819,0.776836426012779,0.193175106344629,0.580887232457568,0.238676064000631,0.750980477240273,0.441780796747903,0.737210830169021,0.374531184227826,0.325491596586627,0.323604579495513,0.713588655560654,0.426191441911831,0.757826919835584,0.282141366561971,0
"Natural killer T cell",0.145641797141061,0.4549856795565,0.463332695417079,0.544130030873426,0.0220668142443823,0.456933736593862,0.429691240250198,0.518886203109581,0.395569722410424,0.542077798926035,0.16956737105254,0.74276611592824,0.287825794967328,0.0746865069473775,0.703735641797849,0,0.522318966631316,0.612891217932386,0.550834933024837,0.563826446805464,0.0871686861331611,0.468730708452246,0.499566678177209,0.394192987557728,0.600880003700911,0.402269811729138,0.924069527270192,0.563177545724868,0.368780771627522,0.444396637957947,0.514020941934061,0.308254249803323,0.438876825271632,0.637170896131653,0.820577075284576,0.4006217361065,0.254484948288139,0.414877471224088,0.553996677479623,0.542627921794165,0.721580029485599,0.159711896400971,0.47516669337425,0.841121160636804,0.813741769638312,0.434124560433449,0.814100436331162,0.355341217285505,0.566612187644672,0.201421093619408,0.655007631242268,0.464172389422803,0.866769909646729,0.711111438995194,0.666181991726957,0.55487655979132,0.791145105930956,1,0.191603428788928,0.185345204131317,0.246949680806471,0.644977745526128,0.80546741995824,0.62426078307768,0.582858748455005,0.660070341759069,0.565367536703912,0.846815822289891,0.735260184961251,0.726379009610747,0.575499760993072,0
"Type 1 T helper cell",0.229272031458182,0.81137918448102,0.55909145349188,0.56099440172645,0.0537405456128558,0.474630302976875,0.564800603961046,0.478616267117671,0.30051583281221,0.52816070773258,0.255902933859859,0.83672066784934,0.402186637307562,0.255048773816108,0.811119651647782,0.280493504362445,0.181876451477407,0.52806603601105,0.444320626860557,0.41417187121293,0.116296236631468,0.331634533649461,0.452347064741674,0.381154652715947,0.390769794191914,0.385514008660635,0.65082034352134,0.822833593954923,0.160586620104554,0.658158437564309,0.474155127084039,0.252991818215879,0.465501764548555,0.484717495192054,0.437940183320434,0.465843780164326,0.544675653240605,0.309066217220363,0.475593734184013,0.959699869895569,0.528770451781744,0.0854940397573161,0.787612969804919,0.638382445974539,0.916419719538923,0.318029910210654,0.868399241745098,0.263629007689254,0.80180507584637,0.171454989587716,0.640536780445853,0.523295304150731,0.536245936505628,0.709267545408456,0.501213433286606,0.406083056437184,0.699545119030919,1,0.164638785025056,0.530400099567648,0.460319846345866,0.701467551169855,0.67260969587619,0.679025970555679,0.639814331320641,0.671593798315264,0.663479878882933,0.603953720361314,0.780398276934525,0.860104365974385,0.242603845687179,0
"Type 17 T helper cell",0.310680788419879,0.505322041602633,0.574151176692828,0.682301523860317,0.422873586501317,0.398240762440202,0.281052746479229,0.544598972743361,0.692644727439031,0.129231086620998,0.305150990865513,0.936626669149435,0.343475878775701,0.575590089500169,0.989732125578948,1,0.493773485777028,0.36140563499517,0.382510015268634,0.119079816624693,0.295869876096258,0.233827007055203,0.433528757816993,0.285488964829938,0.0703800145067073,0.552190762449452,0.268821874643865,0.269183471485297,0.234666847082915,0.936345466246931,0.470424974495272,0.39786483280925,0.43099063785724,0.402547151056019,0.433584583296109,0.569151349005317,0.564880502277741,0.0373332839169669,0.236137480775524,0.808226738363249,0.441204137743663,0.421472038403469,0.689201101253031,0.863373695392912,0.343444716926842,0.596383270072102,0.468474680608876,0.550820604599444,0.662678158213972,0.410282036744556,0.543051904866877,0.484726509389889,0.566029960506575,0.625334581174888,0.656076726350211,0.567252367137007,0.656492099859981,0.590999222242004,0.386568055569479,0.167092366849658,0.547930366527993,0.134908149980215,1,0.507610894098046,1,0.856208019234264,0.547934810322123,0.572142108091413,0.217628631810944,0.715439669733736,0.222329087696864,0.521387823101051
"CD56dim natural killer cell",0.460043122729513,0.412685861321672,0.450315128487383,0.451225959741086,0.436663920775203,0.851173483471661,0.667080717750175,0.498433612190878,0.585232678273162,0.701702793470596,0.584856202631209,0.591787376147323,0.555624484592944,0.327941019056878,0.539428647672983,0,0.277283840590188,0.33882611150809,0.495245237314099,0.561320561146254,0.218119872388418,0.617306228800957,0.891698428222923,0.339813242076216,0.42282914846109,0.397236541163505,0.848228901407616,0.909062228341228,0.85807191964416,0.403238102820127,1,0.674489402784963,0.443170927495006,0.51490408818461,0.433401887219181,0.630032716784961,0.399702952390618,0.156706471839505,0.475634400437066,0.319515358651433,0.391129505153989,0.21973872608759,0.447099576832413,0.347943429462178,0.627559192338465,0.335111247085964,0.746204943077907,0.786018985219232,0.377781562787756,0.713648198572921,0.195800181571262,0.303219201942987,0.522036366838479,0.532036873941449,0.392219107658351,0,0.880490254235552,0.582432120897479,0.65914406735363,0.336081905604334,0.634267018395021,0.900663967741967,0.320231608078986,0.372979127977592,0.333961306332612,0.72418989111156,0.406838591049845,0.546522527091973,0.885039126960118,0.580811019459998,0.434650586133985,0.256066872328573
"Eosinophil",0.543172876833863,0.79456141097163,0.419134808612018,0.457224752610629,1,0.408149156818445,0.426493569689743,0.503556616145923,0.410963307621786,0.92381693778919,0.304200874183166,0.468649345378244,0.394345164940787,0.52293235942144,1,0.54309439175662,0.095999525615895,0.941104520873961,0.743951284685321,0.839114365511672,0.0735462833734944,0.386953037050781,0.597851235023986,0.647506406540127,0.561038043897631,0.544179565613568,0.428471307249425,0.16400339220167,0.524886269200745,0.20185679644582,0.269500503198695,0.521430812576647,0.441033192497466,0.312879821070785,0.650482405781473,0.600269911642402,0.619784951265818,0.176215530737316,0.304160772999557,0.298834700741033,1,0.181861133154379,0.126315426730236,0.97608536218047,0.701102938237149,0.42292998991462,1,0.536196224984931,0.594984097650143,0.166791640571929,0.645458102707767,0.445092000495695,0.0800137082000448,0.572636324387797,0.634990746142578,0.362781059652122,0.525812771512136,0.464079350757088,0.236964237335907,0.172063247925746,0.486006532531409,0.410526400448091,0.648622710539571,0.524733563245779,0.359573687941175,0.408959558766753,0.654623459427152,0.767520865302989,0.168503663979054,0.742925923829521,0.387592400298426,0.237590544183869
"Immature dendritic cell",0.27043196506483,0.797058918384802,0.624612787881454,0.989920381278475,0.710611387302093,0.349019436669221,0.720043702120501,0.64163203505363,0.132733430935808,0.23450035948372,0.314824477893206,0.27579851884781,0.740014263680383,0.693676654365061,0.542975691317788,0.755725292055063,0.108901192733041,0.530031428248085,0.678495369673052,0.42603838419878,0.149239008195457,0.398877948120428,0.742832331659516,0.246158453153084,0.802633670463572,0.124454444185751,0.390116881432572,0.278089460012398,0.318840745399853,0.267844939130618,0.393874400404336,0.21535599740663,0.0686787186714123,0.776430659710553,0.653611832810008,0.464331396268616,0.780915925048016,0.822971014041548,0.360142553073878,0.409985113183323,0.558149966471504,0.361574297300577,0.841410607770957,1,0.514168033572594,0.473443005175631,0.49475486924205,0.388024266077865,0.599216743934067,0.218328049981679,0.504842515473719,0.695698512865072,0.82742061930093,0.547906027139151,0.630050822520866,0.205289327366742,0.549069948700631,0.317551326606385,0.307768491169514,0.380549258670355,0,0.481862017393786,0.994798520870728,0.703853470832414,0.597121202025756,0.0727667852724183,0.341723575800819,0.3010778701082,0.783880129326246,0.568087160652159,0.767992074666106,0.804407146704644
"Macrophage",0.11642573181718,0.630182457828469,0.683599882004781,0.389032499160385,0.324709295217668,0.227761901982856,0.356248779842998,0.332577071827618,0.343781318807906,0.341259530551903,0.181749952011868,0.482692193785481,0.316198165750795,0.39609333002719,0.671661814744198,0.671078435859501,0.313180105044668,0.542843300669553,0.570818010277336,0.640849499498118,0.141123705485228,0.488003328619268,0.576427097839764,0.279917286317993,0.229471360102643,0.31956910862472,0.676453893827959,0.614774788198534,0.209789493443281,0.652732949944946,0.234154112657401,0.169793685282023,0.479551536061005,0.525445377023165,0.761721822579314,0.677995523704073,0.618004135997534,0.356322581560426,0.43403111422826,0.710449885526966,0.812606701161536,0.234179085853303,0.853263494578401,0.783685198719253,0.714791110020539,0.221102192257269,0.816535591322765,0.377294532484021,0.673645170146699,0.0633064151319477,0.729914125009658,0.410495294018486,0.540648125942748,0.68155651801212,0.546227905560372,1,0.774696165763557,0.766551727365567,0.241317644351809,0.292308559751091,0.0603782023851554,0.573481946433383,0.887495808110346,0.541897009944712,0.873613573350328,0.481779776257654,0.824873117766234,0.826482129161475,0.658537360641086,0.828310751031585,0.237478108460547,0
