"","GSM391130","GSM391131","GSM391132","GSM391133","GSM391134","GSM391135","GSM391136","GSM391137","GSM391138","GSM391139","GSM391140","GSM391141","GSM391142","GSM391143","GSM391144","GSM391145","GSM391146","GSM391147","GSM391148","GSM391149","GSM391150","GSM391151","GSM391152","GSM391153","GSM391154","GSM391155","GSM391156","GSM391157","GSM391158","GSM391159","GSM391160","GSM391161"
"Immature dendritic cell",0.445902057162402,0.741094692983953,0.765051104833312,0.743967635787983,0.847426021760199,0,0.426035088780474,0.674816845403043,0.841122107340742,0,0.504814481518316,0.473786430724239,0.25487900948132,0.784712897459681,0.536776502025316,0.555551292865808,0.529270582986149,0.837406193153359,0.0519275578480881,0.840570053734816,0.236979207304441,0.476600583124125,0.380116554204464,0.540372725747451,0.607897867578029,0.206953821569398,0.567463822158391,0.555148438517826,0.314324637259905,0.628479534803027,0.473262252728217,0.239167252943886
"Macrophage",0.283907724194853,0.631131150356878,0.664801730358153,0.109376204966453,0.640955523534648,0.453744538851071,0.311710121649778,0.250227551809976,0.509950820520243,0.0480933875218719,0.601379342970457,0.283931997788834,0.928830857240131,0.510526359813479,0.668240476112771,0.290955618303214,0.716506276014237,0.159742140976588,0.754203757266743,0.141153950313769,0.493638311303174,0.281572532228878,0.862692285473703,0.690737154087199,0.867951687392403,0.879046117624767,0.274740049478414,0.41269302804904,0.590774372243088,0.803435286162996,0.299445147100047,0.583904498292144
"Mast cell",0.537056677329718,0.733498810873916,0.226108135950227,0.219908874435259,0.634545995568979,0.523805542135014,0.303994765150597,0.347927499109982,0.946815141447804,0.276882970406054,0.445251547913261,0.548661020022406,0.974813984212499,0.359606924912016,0.577430615379913,0.336914653911472,1,0.535557020850457,0.333668509149914,0.234842642555555,0.442186145352143,0.479287889500108,0.804783648575384,0.255324618767844,0.807956357675441,0.464462168367083,0.0955982448159222,0.521839028631877,0.552779072719221,0.88868004840992,0.126366054485603,0.416568298154757
"MDSC",0.370605477726784,0.836638258175064,0.59424241027171,0.18536217462724,0.801045839648566,0.397737993522633,0.280468094059078,0.286079332325886,0.542350891857788,0,0.556659400022229,0.338935210862573,1,0.473912096851778,0.513089283112765,0.356247624639029,0.889856287806244,0.472558689568268,0.835028054192117,0.328761961682863,0.693125026826034,0.342634587232319,0.689810569720282,0.388751102687275,0.809035892774399,0.663445671381382,0.0694391208476682,0.500658250633791,0.496274829111055,0.765845273073848,0.17909556203197,0.356964940897791
"Monocyte",0.680410547335713,0.435296897349072,0.680716834551518,0.17695692096971,0.1184833888493,0.191655335104231,0.74366700167525,0.500193991661404,0.209108883778844,0.611809027201377,0.343879125763763,0.478102650792801,0.513048754408062,0.783505768004029,0.692234302113486,0.731861604990675,0.623381659639041,0.518528156236129,0.489260650292935,0.0249502704389529,0.467622344818921,0.370242253803207,1,0.198858269878064,0.724214718832055,0.555420638411716,0.00189386269171571,0.89488593747916,0.601885655473817,0.511783075695498,0.415503996648786,0.63963664215687
"Neutrophil",0.760091958726012,0.309451076297662,0.169956813671287,0.636942903628351,0.966473654649149,1,0.429722106264115,0.553895231988311,0.676121301229848,0.74235243445829,0.272861157982036,0.743491099244792,0.187869543408374,0.426855741590132,0.49768566011604,0.374327653133671,0.363046438217448,0.438859468365682,0.487834532479069,0.482391567817786,0.48383667987105,0.588298515279987,0.076087638171825,0.47381961027889,1,0.443854657452411,0.292857693727453,0.551623550154452,0.199996169780302,0.197935036506181,0.297014144385783,0.779183491585528
"Plasmacytoid dendritic cell",0.535320866454516,0.618142060373486,0.304974254372123,0.460783662587565,0.382068740354376,0,0.499545691748333,0.5741498365397,0.659943432132328,0.570318001450256,0.665427033000376,0.497744207951816,0.61343539022285,0.955173233488469,0.561201593906592,0.697253211158253,1,0.449260623786774,0.0698540018124264,0.016252497793966,0.545924595130143,0.32989382731188,0.41646634664907,0.301483359059887,0.70867626148988,0.483643327432903,0.331184549677627,0.571966446689865,0.661718792657536,0.716960750109498,0.514371386275539,0.464637815312369
"Regulatory T cell",0.469354660983699,0.596271761011575,0.542521096275545,0.232806640837413,0.946932493692771,0.0890004561857248,0.514964808884714,0.283857111457896,0.332685704822273,0.0569059475231219,0.589293344880548,0.0940877460945516,0.792719050734322,0.501011048017593,0.733086484280457,0.498143929600874,0.807485701429308,0.258735717122306,0.545061757490539,0.500619413144921,0.588861259329268,0.419961890791581,0.712328542049732,0.201627335739047,0.87306673676534,0.322744554613715,0.342736287992879,0.709828827044167,0.807899976620887,0.959791148797414,0.334959537256151,0.340649028529669
"T follicular helper cell",0.571366887228266,0.491366183397679,0.260753671210082,0.195787804911445,0.501964045256856,0.22587118007898,0.848385363279263,0.141876457749136,0.423058826667255,0.12143376472061,0.586063898248644,0.635217824369814,0.841888603706736,0.48014034445663,0.780832010078762,0.577744236792292,0.950728113472249,0.558655758289088,0,0.286037966341768,0.29778637068732,0.7639777214602,0.744413216595563,0.522521926779396,0.683196046765452,0.613896115094574,0.230748905652378,0.685225915584132,0.584085032197924,0.829946062474633,0.402474580057674,0.199642256798185
"Type 2 T helper cell",0.590673857820709,0.461269911169955,0.357799617496184,0.503144268100039,0.789973507507923,0.749830005085252,0.727151267100033,0.322701864097582,0.358052603943584,0.981075578352116,0.391743652469646,0.548218562238054,0.540540525721132,0.48764877975993,0.602857464671801,0.5851514030238,0.767681270860779,0.398411789635956,0.381922624119302,0.837193482106101,0.403413707847096,0.54282412061414,0.0380075403821434,0.19030386816334,0.342628810727171,0,0.320654053177638,0.869326371215375,0.607903841278063,0.846174455600495,0.0531364052372778,0.483854612095397
