"","GSM1134765","GSM1134767","GSM1134769","GSM1134771","GSM1134773","GSM1134775","GSM1134777","GSM1134779","GSM1134781","GSM1134783","GSM1134785","GSM1134787","GSM1134789","GSM1134791","GSM1134793","GSM1134795","GSM1134797","GSM1134799","GSM1134801","GSM1134803","GSM1134804","GSM1134806","GSM1134808","GSM1134810","GSM1134812","GSM1134814","GSM1134816","GSM1134818","GSM1134820","GSM1134822","GSM1134824","GSM1134826","GSM1134828","GSM1134830","GSM1134832","GSM1134834","GSM1134836","GSM1134838","GSM1134840","GSM1134842","GSM1134844","GSM1134846","GSM1134848","GSM1134850","GSM1134852","GSM1134854","GSM1134856","GSM1134858","GSM1134860","GSM1134862","GSM1134864","GSM1134866","GSM1134868","GSM1134870","GSM1134872","GSM1134874","GSM1134876","GSM1134878","GSM1134880","GSM1134882","GSM1134883","GSM1134885","GSM1134887","GSM1134888","GSM1134889","GSM1304420","GSM1304422"
"Immature  B cell",0.154797591141762,0.585978091282732,0.28403603178751,0.0782220303102257,0.332461717927399,0.627791356035368,0.246917424113895,0.157128816234738,0.568043187561975,0.40837222460028,0.514490619003863,1,0.752068962344249,0.379762019947888,0.534373837075975,0.787019317324342,0.125858611069398,0.510885531954311,0.414291857413959,0.781750987410357,0.3570174865594,0.346822998965792,0.617135576008384,0,0.570656718530293,1,0.971254058169699,0.762583852508069,0.372638095452802,0.630825580743187,0.297187151021707,0.391348994758948,0.363739679143319,0.529369555747975,0.632566411203725,0.597168517821357,0.568690720457121,0.314665126054402,0.595462815389614,0.41378263604962,0.383716689415497,0.127200643434637,0.377829272089636,1,0.389903568602889,0.464837459706338,0.573311925809578,0.818600422893822,0.113348527846063,0.407772275631194,0.112737139415231,0.164241304801833,0.506828325518233,0.409512159635858,0.67621051873867,0.846265644278489,0.547816606904747,0.387067859629569,0.790118158609016,0.655051619331792,0.849508001908163,0.659350598867929,0.572380945927118,0.9115812393135,0.291925940465746,0.41886503721254,0.327060078203179
"Memory B cell",0.314548052901201,0.375756869423,0.381284190851131,0.323967882082651,0.577684759148397,0.23656044221674,0.193130291712014,0.17557790063965,0.390351676859765,0.32872881745468,0.599180668276327,0.872962826874513,0.258016693481449,0.224290770157197,0.362147069454893,0.647571838652609,0.118870894120945,0.430919845871928,0.53401787584574,0.52348773893857,0.576551527865024,0.605750222779199,0.245161459103574,0.367982937185424,0.449969761751588,0.559805713373202,0.985667973840612,0.665759866737438,0.237799477067118,0.769870892684241,0.351519037050078,0.861979674134065,0.786328168806487,0.421556945298133,0.583451519207377,0.381110654977396,0.427676257335018,0.679882335631026,0.26655187146647,0.400928620162228,0.630899997434011,0.387129307326483,0.355387010831058,0.921947118218122,0.706166742204093,0.282221737636736,0.353666774269375,0.503201629016744,0.153925334779545,0.377121371235541,0.275891295381549,0.408467745700796,0.443240266790591,0.305911677106972,0.494627559457857,1,0.502392307920601,0.432532685506281,1,0.301280236827518,0.723947586293997,0.809786218176378,0.419978543333956,1,0.498649927429842,0.804978793361557,0.335191318166179
"Natural killer cell",0.176549498752507,0.607450004595287,0.415474838326746,0.178880519967377,0.749204928724121,0.820492932605558,0.47109413692765,0,0.660698374890917,0.757900952002076,0.481888059442469,0.751836040148557,0.565890407574953,0.460822399756641,0.310726949347868,0.975715693952366,0.475294308697444,0.435764418010365,0.547406415485365,0.812788136005459,0.644424959888445,0.449274705922893,0.472864047419158,0,0.759613411565519,0.725369666966406,0.871263899561564,0.678204326290476,0.45462019755722,0.358855921806737,0.313879916659032,0.702427462906957,0.404129160966739,0.299463643412212,0.632318772682453,0.567713815739881,0.414749423113984,0.440776532628937,0.489982999337449,0.174130690926824,0.546366566726553,0.304358055046753,0.482976909927127,0.767298085440709,0.771753303110643,0.551107004939576,0.476152961492055,0.741487255771946,0.543677886646197,0.571110629234613,0.339131597532181,0.245967356768483,0.560795357254303,0.664099963165525,0.782678774386853,0.942569705574615,0,0.548495480302323,0.275573111144632,0.59695615893856,0.390803227411843,0.47208972990823,0.326346682717035,0.0981852997844734,0.233502958776172,0.806011756427122,0.560745324573378
"Natural killer T cell",0.550280896476171,0.453397291001541,0.482736160583542,0,0.616298659853332,0.550045005392094,0.256066610826447,0,0.588848278932474,0.564802085908678,0.375704044875182,1,0.41124841155662,0.549341494386372,0.373893290295157,0.625197381059092,0,0.48480434584662,0.670059930839684,0.634384777975572,0.468651986252101,0.373605579622039,0.444076412765851,0.0207089604270296,0.579710380334547,0.814935109082222,0.944560197966393,0.711629663858007,0.454597318450241,0.306468171675439,0.710901095692579,0.555883143374979,0.24281686152409,0.602351069793887,0.550000485038667,0.39640734516645,0.411212967852584,0.252927202425289,0.498192271027402,0.35226522080544,0.570201288719456,0.260803014875339,0.515202437360064,0.890435026159338,0.734196754376924,0.421623126046703,0.637005654983617,0.589448660945134,0.483820392648051,0.521957392775292,0.572397007715985,0.156124431783398,0.504634514980585,0.371505345761784,0.710494957082118,0.731481524870746,0.0415806505421134,0.376469617462241,0.56427617992841,0.935012086135188,0.609711530321821,0.762823638816579,0.702416051722812,0.818625510180832,0.494218748571488,0.624758424778455,0.230884159915031
"Type 1 T helper cell",0.179095634096319,0.451324879097021,0.478726136852777,0.177214051119687,0.59691598886406,0.480921732474411,0.353906762640499,0,0.635357792088863,0.698394234718759,0.429402511553754,1,0.564590271368098,0.40485720408199,0.518812493364519,0.818642702495258,0.258019091595854,0.439456043227905,0.593813835722497,0.81724917995848,0.653496478762701,0.6710672541763,0.463644083095062,0,0.68402662149039,1,1,0.751832981292024,0.380710412384553,0.512420122278538,0.48224012993662,0.732849979408521,0.510969001042547,0.326207737777508,0.659287602336112,0.477323269784673,0.294615030679484,0.405946181011634,0.455957850624489,0.365625714231604,0.550233756733637,0.285217384655005,0.483790237689765,1,0.876043113459244,0.462750312525089,0.64580228230233,0.544786869230292,0.304679121515339,0.462383767048617,0.365809535780403,0.177337561987012,0.38571417507677,0.437986951633945,0.751825002029244,1,0.241283293902692,0.36613580357204,0.180581105250686,0.402396384523399,0.264942566400228,0.462118108338485,0.324343297268285,0.175636782222387,0.234661186681277,0.747458530676268,0.463334744282622
"Type 17 T helper cell",0.475655537369189,0.370648358059423,0.640010217631451,0.981188769482774,0.68884617636729,0.0963443120315137,0.618825900726819,0.579610078633887,0.647294420956081,0.785912021938009,1,0.541444075493721,0.428059227862442,0.503171982690786,0.67071434130328,0.572470769369602,0,0.211829359202463,0.721183749193814,0.48811579786131,0.640190554078985,0.417430881902022,0.461446767586945,0.715163033416067,0.489470188409325,0.546553784620835,0.123490583511032,0.492110770524965,0.34831424685024,0.307893238835087,0.362466922196401,0.406825526727826,0.44192370105488,0.501593274123745,0,0.3697400101666,0.527171011431011,0.470448357741469,0.587858585344003,0.678139507712995,0.144905995234592,0.947187001315748,0.690460970783666,0.158203900911245,0.0729700532777509,0.555930803108691,0.642712656245708,0.647697780708942,0.508925986860799,0.701214948053605,0.710589158522091,0.906115543372287,0.464654393759932,0.579242208831038,0.591449782989321,0.273996029041303,0.546695338374703,0.781322704862957,0.384514633889749,0.309025430695805,0.437205890208291,0.321316899369068,0.0492096323682399,0.652168605081082,0.0740874475249527,0.541253366523687,1
"CD56dim natural killer cell",0.257280249992696,0.639027354207454,0.553918409225354,0.0388210900955736,0.742938595116222,0.267176956661828,0.74806217876663,0.500852956073732,0.617916941752589,0.796224744431133,0.331107244732564,0.583310811462014,0.605363342600003,0.986785838318285,0.494791570718487,0.455177378062093,0.0291937646370315,0.390116409171145,0.762174972383277,0.206697556724694,0.722174596329899,0.63185048006589,0.672963415955533,0.374696765072807,0.749711298366528,0.615848814877778,0.585778616353265,0.36727830456458,0.329374650449778,0,0.752555274558469,0.696489585948769,0.347928309478155,0.0943174071890366,0,0.606364404891719,0.688362549051295,0.352116288640369,0.77293331286279,0.533419111854935,0.278792978276084,0.512413449442303,0.667473586648297,0.60603197230101,0.476881202002181,0.667465833204874,0.683876513230419,0.571122497945968,0.507311664196602,0.732733061057165,0.630362935901281,0.422623425811444,0.780017057868013,0.340657970962998,0.954500827593315,0.377496850052765,0.0752953703629006,0.272732259880728,0.375924724377991,0,0.532068302360472,0.909389713498211,0.63478302446801,0.468308753509254,0.682409363375586,0.591595768533736,0.0305790647955533
"Eosinophil",0.504670154173885,0.250263915048178,0.264662156190282,0.0462945112317179,0.657544732006726,0.39727700940967,0.084320404916651,0.622401638812458,0.732374951062909,0.697602099940567,0.295220147711773,1,0.409755459511303,0.400919287497134,0.822762941121627,0.467637191835687,0.247192452146102,0.0851023963487221,0.659403073126562,0.926084970549082,0.695272022661636,0.278714794523728,0.163774119241321,0.265097642344448,0.364831670987908,0.568622200664134,0.927284038132872,0.566106983779809,0.198577023637615,0.73152831110739,0.62619872027403,0.982914297434563,0.596253864225542,0.446730935040511,0.445009165478214,0.326661903363271,0.253067127109041,0.483348314617313,0.739698512816789,0.159241117556825,0.486241703837287,0.323075385034411,0.0966231530523492,0.994143732133553,0.648673213986859,0.408441750052442,0.526123172452666,0.279943554446562,0.378300927092174,0.440574752383839,0.401200286270265,0.612330386766947,0.678031420778793,0.249585066091242,0.281056226614766,0.770430039790375,0.534010564290209,0.311903491174579,0.655369476415035,0.90396335727811,0.557380798306824,0.928009441686231,0.490423904623703,0.860628937695922,0.545412886455771,0.483682885718226,0.192475197348603
"Immature dendritic cell",0.186124318714555,0.355952365018209,0.349032729911835,0.167824063232631,0.506732574992111,0.362419581144843,0,0.731185331299374,0.519602843103514,0.51134627444611,0.93178621976732,0.862322786892238,0.536076926420139,0.683416756333076,0.738869361884317,0.394152501993937,0.407498436387973,0.296963983130089,0.785978911873982,0.475053513630908,0.621519727329826,0.387270953251733,0.332945917909817,0.777236444949926,0.574638044861004,0.395469515813786,0.694832760532642,0.554157452691278,0.640938957322424,0.57830845416991,0.184343193950106,0.916124242292056,0.914166999581598,0.801826764374865,0.63323768999792,0.432525802174145,0.404512369940176,0.877548022849549,0.331306468969957,0.435745318392715,0.724985749585651,0.414213479189843,0.317046443979449,0.799425481777534,0.857332924644071,0.50610984061744,0.43224883637816,0.515856832912326,0.635256101619034,0.351569352684445,0.404709206969158,0.742545046696912,0.640885681869935,0.650908336541335,0.50010833925779,0.765710162184414,0.696509418592938,0.517559468650979,0,0.245363138721988,0,0.44157346909956,0.110779208454347,0.113291735450719,0,0.636381993758651,0.468048424083928
"Macrophage",0.301227415887768,0.348483476060774,0.286725755088393,0,0.590224362695505,0.356147605584895,0.203347380031949,0.298457188581257,0.357177257449013,0.468199055124684,0.364769567367013,1,0.415421641124532,0.298914663273323,0.39108436348966,0.614112873494625,0.101734274084166,0.438188256996279,0.414301641611341,0.894124165454435,0.426724087596562,0.625009725223223,0.433914798688873,0.295384368377335,0.750076189845537,0.923156092446643,1,0.728170714713925,0.569756384216878,0.366818797723777,0.553655660099428,0.8543428087364,0.366680471521095,0.321596001303878,0.620877332567579,0.432681958756744,0.265408622495906,0.536693647168159,0.294501420517936,0.445218411716916,0.48146566741862,0.146840922906954,0.413905834971725,0.985378125471504,0.95487073988725,0.531154574100091,0.704172095142062,0.671303357588649,0.364920365255841,0.42100948253776,0.22877782067081,0.402246486287568,0.388623116482168,0.473031248684655,0.853584078262533,1,0.378177759913757,0.33236140642646,0.550875931736377,0.700491991030295,0.376850134480027,0.712391355101423,0.482656184400723,0.526831977313522,0.342429079888541,0.544435098519233,0.322931993980139
